PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.3562243580818176 0.9376820325851440 0.5209355056285858 0.5728468149900436 0.5981537984574544
1998 0.3146995902061462 1.107877254486084 0.5351571738719940 0.5955976247787476 0.5981537984574544
1999 0.3249089121818543 1.027030825614929 0.5552714914083481 0.6166451101501783 0.5981537984574544
2000 0.3728717565536499 1.024207472801209 0.5190552473068237 0.6036995972196261 0.5981537984574544
2001 0.3731733858585358 1.266796946525574 0.5093126446008682 0.6081664537390074 0.5981537984574544
2002 0.3662380576133728 1.683470487594605 0.4847009330987930 0.6125841711958250 0.5981537984574544
2003 0.2659325301647186 1.403658747673035 0.4950791299343109 0.5817222322026888 0.5981537984574544
2004 0.2992059886455536 1.091727256774902 0.5950324535369873 0.6015834137797356 0.5981537984574544
2005 0.2864103615283966 1.017249345779419 0.4696698039770126 0.5314700106779734 0.5981537984574544
2006 0.3389791846275330 1.226150035858154 0.5817014873027802 0.6401531125108401 0.5981537984574544
2007 0.4379457235336304 1.032394647598267 0.5393858850002289 0.6037357921401659 0.5981537984574544
2008 0.3507002592086792 1.438301682472229 0.5026758760213852 0.6085646624366442 0.5981537984574544
2009 0.3702534139156342 1.347528934478760 0.5254195779561997 0.6451412687699000 0.5981537984574544
2010 0.3961198925971985 1.497404575347900 0.5176093727350235 0.6278403724233309 0.5981537984574544
2011 0.2474570870399475 1.286088943481445 0.5200548470020294 0.5787165736158689 0.5981537984574544
2012 0.3285572230815888 0.8270782232284546 0.4576603621244431 0.5175737490256628 0.5981537984574544
2013 0.3422488868236542 0.9494796991348267 0.6045806407928467 0.6225736141204834 0.5981537984574544
