PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.1711765825748444 0.2962213456630707 0.2137034758925438 0.2224120512604713 0.2461198577986044
1998 0.1492070704698563 0.3295811116695404 0.2295751795172691 0.2313362993299961 0.2461198577986044
1999 0.1607546210289002 0.3053803145885468 0.2287064269185066 0.2308762309451898 0.2461198577986044
2000 0.1640630811452866 0.2985781431198120 0.2478669285774231 0.2366153510908286 0.2461198577986044
2001 0.1799622476100922 0.3000365197658539 0.2505407258868218 0.2448661724726359 0.2461198577986044
2002 0.1809138655662537 0.2895036339759827 0.2435048222541809 0.2422444274028142 0.2461198577986044
2003 0.2197349667549133 0.3052488863468170 0.2877223491668701 0.2773771236340205 0.2461198577986044
2004 0.2027603685855866 0.2919994294643402 0.2501255199313164 0.2500651925802231 0.2461198577986044
2005 0.1997618824243546 0.2876261472702026 0.2551066279411316 0.2480776446561019 0.2461198577986044
2006 0.2072491943836212 0.3339952528476715 0.2734071165323257 0.2687167140344779 0.2461198577986044
2007 0.2069878429174423 0.3052455186843872 0.2564810663461685 0.2566053482393424 0.2461198577986044
2008 0.1811807751655579 0.3086965680122376 0.2647323608398438 0.2529802309970061 0.2461198577986044
2009 0.1979231685400009 0.3078248500823975 0.2685479074716568 0.2589120219151179 0.2461198577986044
2010 0.1844927966594696 0.3186069726943970 0.2657562494277954 0.2575930791596572 0.2461198577986044
2011 0.1746419370174408 0.3009459376335144 0.2509225979447365 0.2418348714709282 0.2461198577986044
2012 0.1488030403852463 0.3033420443534851 0.2359884008765221 0.2326575070619583 0.2461198577986044
2013 0.1424813866615295 0.3076404631137848 0.2314654663205147 0.2308673163255056 0.2461198577986044
