Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,4,26,0
1951,0,0,1,29,0
1952,0,0,0,30,0
1953,0,0,0,30,0
1954,0,0,1,29,0
1955,0,0,1,24,0
1956,0,0,5,19,0
1957,0,0,4,22,0
1958,0,1,5,25,0
1959,0,0,7,25,0
1960,0,1,10,22,0
1961,0,1,8,23,0
1962,0,1,10,22,0
1963,1,0,9,22,0
1964,0,3,9,22,0
1965,0,4,7,24,0
1966,1,5,4,27,0
1967,0,6,6,25,0
1968,3,3,10,19,1
1969,4,4,5,22,1
1970,4,2,8,25,1
1971,7,5,5,22,0
1972,5,6,7,23,0
1973,6,5,11,19,0
1974,8,3,12,19,0
1975,5,4,13,17,0
1976,9,6,8,16,0
1977,9,8,6,15,0
1978,11,7,4,17,0
1979,9,8,10,15,0
1980,8,11,6,13,1
1981,9,10,7,14,0
1982,12,8,5,11,2
1983,10,8,6,11,3
1984,10,10,4,10,1
1985,11,10,3,14,2
1986,15,7,5,11,2
1987,15,7,6,11,2
1988,12,7,7,10,2
1989,14,8,5,11,2
1990,16,8,4,11,1
1991,15,8,4,11,2
1992,15,8,3,11,5
1993,15,7,5,10,6
1994,14,6,4,10,8
1995,17,6,4,10,7
1996,19,3,5,11,5
1997,16,7,2,11,6
1998,14,5,6,10,6
1999,14,6,9,10,8
2000,14,7,7,10,7
2001,16,7,7,8,7
2002,19,7,6,9,6
2003,22,8,5,6,4
2004,17,8,7,5,4
2005,20,6,6,6,5
2006,18,6,7,5,5
2007,13,7,5,5,8
2008,13,5,7,5,7
2009,15,8,6,3,6
2010,14,8,6,3,7
