Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,2,97,0
1951,0,0,2,106,0
1952,0,0,2,112,0
1953,0,0,3,111,0
1954,0,0,4,110,0
1955,0,1,3,111,0
1956,1,0,4,110,0
1957,1,0,3,111,0
1958,0,1,3,111,0
1959,0,1,2,111,0
1960,0,1,4,110,0
1961,0,1,3,113,0
1962,0,1,1,115,0
1963,0,1,1,116,0
1964,0,1,3,116,0
1965,0,1,4,117,0
1966,0,2,3,117,0
1967,0,1,4,118,0
1968,0,1,4,118,0
1969,0,1,8,116,0
1970,0,1,9,125,0
1971,0,2,8,125,0
1972,0,4,6,125,0
1973,1,3,8,123,0
1974,1,3,8,125,0
1975,2,1,9,124,0
1976,2,1,15,118,0
1977,1,2,13,121,0
1978,1,3,12,121,0
1979,2,2,15,119,0
1980,2,4,13,119,0
1981,2,3,15,117,0
1982,1,3,18,116,1
1983,2,1,21,115,0
1984,0,2,19,116,2
1985,1,2,19,116,1
1986,2,3,21,113,0
1987,2,5,22,109,0
1988,2,7,23,107,0
1989,2,6,24,106,0
1990,2,6,23,107,0
1991,2,6,31,97,1
1992,4,6,30,97,0
1993,4,9,35,89,0
1994,4,8,46,82,0
1995,3,7,51,78,0
1996,3,9,52,76,1
1997,4,7,57,73,0
1998,2,8,66,64,2
1999,4,8,74,55,1
2000,5,14,68,54,2
2001,7,19,49,45,2
2002,8,18,53,42,2
2003,6,20,55,39,2
2004,6,20,57,37,3
2005,9,24,49,40,2
2006,10,21,56,36,2
2007,9,19,56,28,4
2008,10,20,57,27,3
2009,10,18,61,27,2
2010,9,21,56,27,4
