Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,4,14,0
1951,0,0,4,17,0
1952,0,0,4,16,0
1953,0,0,5,16,0
1954,0,0,5,15,0
1955,0,1,4,14,0
1956,0,1,4,14,0
1957,0,0,3,18,0
1958,0,0,8,17,0
1959,0,0,5,18,0
1960,0,0,8,16,0
1961,1,1,6,18,0
1962,0,1,8,15,0
1963,1,1,8,15,0
1964,0,2,6,17,0
1965,1,3,5,17,0
1966,2,4,3,17,0
1967,3,4,3,15,0
1968,3,3,4,14,0
1969,3,2,5,14,0
1970,3,3,4,18,0
1971,2,2,6,13,0
1972,2,5,4,17,0
1973,4,4,1,17,1
1974,4,2,5,17,0
1975,3,3,6,14,0
1976,4,5,5,10,0
1977,6,7,1,13,0
1978,6,7,2,13,0
1979,3,7,7,8,0
1980,6,9,6,6,0
1981,5,9,7,5,0
1982,5,9,5,8,0
1983,7,11,4,5,0
1984,8,10,3,4,0
1985,10,7,5,5,0
1986,9,7,5,4,2
1987,8,6,6,3,2
1988,9,6,6,3,2
1989,10,9,2,3,1
1990,9,8,2,4,2
1991,9,7,3,4,1
1992,12,7,3,5,1
1993,11,7,4,4,1
1994,7,9,1,4,4
1995,11,9,1,5,2
1996,11,7,4,3,2
1997,11,8,4,3,2
1998,10,8,3,3,2
1999,7,10,6,2,5
2000,6,10,5,3,5
2001,10,10,8,0,2
2002,11,10,5,1,2
2003,11,12,3,0,4
2004,9,11,3,0,5
2005,9,11,2,0,5
2006,9,11,2,0,4
2007,7,10,2,0,5
2008,6,9,3,0,5
2009,8,9,3,0,4
2010,9,7,4,0,4
