Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,10,38,0
1951,0,0,17,28,0
1952,0,0,15,29,0
1953,0,0,13,30,0
1954,0,0,13,30,0
1955,0,0,12,30,0
1956,0,0,16,29,0
1957,2,0,16,31,0
1958,0,2,18,30,0
1959,1,1,14,34,0
1960,2,0,16,33,0
1961,1,1,12,37,0
1962,1,1,16,33,0
1963,1,1,23,30,0
1964,2,0,21,32,0
1965,1,2,21,37,0
1966,1,5,20,34,0
1967,3,4,22,30,0
1968,4,7,21,34,0
1969,4,8,21,33,0
1970,4,11,14,31,0
1971,4,13,16,29,0
1972,2,17,16,27,1
1973,3,13,19,30,0
1974,6,12,15,35,0
1975,4,14,17,32,1
1976,3,17,14,33,0
1977,7,14,14,32,0
1978,7,14,20,27,0
1979,5,15,16,31,0
1980,7,9,24,27,1
1981,5,14,26,24,0
1982,8,18,18,14,0
1983,7,14,17,17,1
1984,9,15,17,14,1
1985,6,19,16,12,1
1986,7,18,17,12,0
1987,9,17,14,15,0
1988,7,21,15,11,1
1989,8,20,13,11,1
1990,8,16,15,10,2
1991,6,18,14,14,2
1992,6,15,19,11,2
1993,7,15,20,10,1
1994,7,17,24,6,3
1995,11,17,23,5,1
1996,12,18,11,9,4
1997,11,18,14,9,5
1998,11,17,19,7,4
1999,22,16,10,9,2
2000,14,12,20,5,9
2001,14,13,19,5,9
2002,16,13,18,5,9
2003,15,14,16,5,9
2004,15,14,15,5,10
2005,20,15,11,5,11
2006,24,13,12,6,8
2007,20,9,18,0,7
2008,20,10,16,0,8
2009,19,9,17,0,10
2010,19,12,13,0,10
