Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,1,19,0
1951,0,0,2,19,0
1952,0,0,2,20,0
1953,0,0,1,21,0
1954,0,0,3,19,0
1955,0,0,3,22,0
1956,0,0,3,21,0
1957,0,0,2,22,0
1958,0,0,3,21,0
1959,0,0,3,21,0
1960,0,0,4,17,0
1961,0,0,4,18,0
1962,0,0,2,19,0
1963,0,0,3,18,0
1964,0,1,7,27,0
1965,0,1,7,28,0
1966,0,1,11,25,0
1967,0,1,13,23,0
1968,0,2,9,26,0
1969,1,2,10,24,0
1970,2,2,10,25,0
1971,0,3,11,24,0
1972,1,3,8,28,0
1973,1,4,11,25,0
1974,2,4,11,30,0
1975,2,6,6,36,0
1976,1,7,8,34,0
1977,2,6,18,30,0
1978,1,12,11,32,0
1979,6,6,15,29,0
1980,6,6,16,30,0
1981,4,8,17,27,1
1982,4,10,15,29,1
1983,6,10,17,27,0
1984,6,9,21,24,1
1985,7,8,20,25,0
1986,8,12,16,26,0
1987,9,17,10,25,0
1988,7,18,14,23,0
1989,10,14,13,26,0
1990,5,18,16,25,0
1991,7,17,16,25,1
1992,8,15,22,19,1
1993,8,11,27,18,1
1994,9,13,24,17,2
1995,10,12,42,19,1
1996,9,24,24,26,2
1997,9,18,44,11,2
1998,14,20,39,11,1
1999,13,21,44,6,1
2000,11,26,39,7,1
2001,14,25,41,5,1
2002,15,23,43,3,1
2003,14,26,40,4,1
2004,14,29,36,4,1
2005,14,32,32,5,2
2006,14,30,33,4,3
2007,18,29,30,2,3
2008,21,30,29,1,2
2009,21,30,30,0,2
2010,21,31,29,0,3
