Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,0,38,0
1951,0,0,0,40,0
1952,0,0,0,40,0
1953,0,0,0,41,0
1954,0,0,0,41,0
1955,0,0,0,43,0
1956,0,0,1,39,0
1957,0,0,0,53,0
1958,0,0,1,53,0
1959,0,0,4,54,0
1960,0,0,5,56,0
1961,0,0,4,57,0
1962,0,0,11,58,0
1963,0,2,10,55,0
1964,0,2,9,61,0
1965,0,2,14,60,0
1966,0,3,11,67,0
1967,0,4,12,68,0
1968,0,3,19,63,0
1969,0,3,22,59,0
1970,2,7,18,50,0
1971,2,9,21,51,0
1972,2,7,20,58,0
1973,1,10,21,49,0
1974,3,7,27,49,0
1975,5,8,26,56,0
1976,8,9,23,56,0
1977,5,13,26,56,0
1978,6,16,26,55,1
1979,12,15,22,55,1
1980,10,15,26,52,1
1981,11,19,20,52,1
1982,10,15,23,53,3
1983,10,17,23,55,3
1984,18,15,18,52,5
1985,14,21,17,51,5
1986,16,19,17,52,6
1987,15,18,17,48,6
1988,19,17,21,45,12
1989,12,23,19,44,11
1990,14,15,24,46,16
1991,19,17,22,46,10
1992,22,14,23,43,13
1993,21,18,26,41,13
1994,20,21,24,41,12
1995,21,20,22,34,13
1996,20,17,28,30,13
1997,21,18,30,28,15
1998,17,20,31,29,16
1999,22,22,27,23,14
2000,24,20,21,26,14
2001,26,20,23,25,20
2002,27,22,24,20,20
2003,26,18,27,23,22
2004,27,21,30,19,22
2005,32,19,33,17,21
2006,31,18,32,16,23
2007,30,17,34,11,22
2008,31,17,37,9,20
2009,28,16,34,9,27
2010,32,16,35,9,23
