Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,2,45,0
1951,0,0,2,45,0
1952,0,0,2,45,0
1953,0,0,1,46,0
1954,0,0,1,47,0
1955,0,0,2,47,0
1956,0,0,1,48,0
1957,0,0,2,51,0
1958,0,0,3,51,0
1959,0,0,3,51,0
1960,0,0,3,58,0
1961,0,0,3,62,0
1962,0,0,10,54,0
1963,0,1,8,64,0
1964,0,1,9,67,0
1965,0,1,12,65,0
1966,0,4,10,64,0
1967,1,5,12,63,0
1968,2,4,13,65,0
1969,2,5,16,59,0
1970,5,4,20,63,0
1971,2,8,22,60,0
1972,2,10,30,55,0
1973,3,10,31,55,0
1974,3,11,30,56,0
1975,2,10,31,57,1
1976,2,16,32,51,0
1977,4,15,28,47,1
1978,13,15,20,46,1
1979,11,17,18,49,2
1980,12,19,15,47,3
1981,10,22,19,42,2
1982,8,20,24,39,3
1983,7,21,21,43,3
1984,4,20,18,39,1
1985,6,19,23,34,1
1986,6,21,22,34,0
1987,9,19,19,35,1
1988,8,20,16,36,1
1989,10,20,17,36,1
1990,9,20,23,30,1
1991,9,18,21,33,2
1992,8,21,23,30,2
1993,6,20,27,29,2
1994,7,22,23,28,2
1995,11,20,28,33,1
1996,12,18,29,35,3
1997,7,22,29,34,3
1998,9,21,34,29,3
1999,8,21,42,23,4
2000,12,23,37,23,5
2001,9,24,40,19,7
2002,6,20,43,19,8
2003,7,23,45,14,8
2004,9,21,48,13,7
2005,7,20,54,10,8
2006,7,25,47,10,10
2007,19,32,36,5,7
2008,19,28,43,1,8
2009,17,27,45,1,9
2010,22,30,39,1,7
