Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,2,33,0
1951,0,0,1,34,0
1952,0,0,0,36,0
1953,0,0,1,33,0
1954,0,0,2,32,0
1955,0,0,2,32,0
1956,0,0,2,32,0
1957,0,0,3,32,0
1958,0,0,1,34,0
1959,0,0,1,35,0
1960,0,0,1,37,0
1961,0,0,3,35,0
1962,0,0,2,36,0
1963,0,0,2,40,0
1964,0,1,5,39,0
1965,0,1,5,40,0
1966,0,1,11,38,0
1967,0,1,10,39,0
1968,0,1,11,38,0
1969,1,0,9,43,0
1970,0,4,13,58,0
1971,0,3,18,59,0
1972,0,5,13,61,0
1973,1,4,16,58,0
1974,1,3,23,54,0
1975,1,4,19,57,0
1976,3,9,15,53,0
1977,2,11,9,57,1
1978,2,6,14,56,2
1979,3,9,9,60,2
1980,4,10,8,58,2
1981,4,9,12,56,2
1982,0,13,4,61,4
1983,4,10,6,59,2
1984,5,10,4,60,2
1985,6,10,5,58,2
1986,6,9,7,56,2
1987,8,6,5,58,2
1988,5,7,10,52,4
1989,10,10,4,55,3
1990,10,7,8,53,4
1991,9,9,8,52,3
1992,9,7,16,45,4
1993,9,8,16,45,3
1994,8,7,23,43,6
1995,6,6,15,49,5
1996,7,6,15,51,5
1997,6,10,14,51,5
1998,8,8,19,48,4
1999,6,4,51,21,6
2000,7,8,49,19,7
2001,5,8,51,17,4
2002,4,9,50,16,5
2003,4,13,49,14,4
2004,4,12,52,14,3
2005,6,13,49,14,3
2006,4,15,49,12,4
2007,4,16,40,10,5
2008,3,20,35,10,7
2009,2,26,28,10,9
2010,2,20,35,10,8
