Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,6,18,0
1951,0,0,6,17,0
1952,0,0,4,19,0
1953,0,0,2,21,0
1954,0,0,5,18,0
1955,0,1,3,16,0
1956,1,0,3,16,0
1957,0,1,3,16,0
1958,1,0,2,18,0
1959,1,0,3,16,0
1960,0,0,4,18,1
1961,1,0,5,18,0
1962,0,0,6,17,1
1963,0,1,4,17,1
1964,1,1,7,16,0
1965,1,4,5,17,0
1966,3,3,6,15,0
1967,2,2,9,14,0
1968,2,4,8,12,0
1969,2,3,7,13,0
1970,3,3,8,13,0
1971,1,3,8,16,0
1972,2,2,11,13,0
1973,2,2,11,13,0
1974,4,3,10,15,0
1975,5,2,12,13,0
1976,2,3,11,13,0
1977,4,4,8,13,0
1978,3,3,9,14,0
1979,4,4,9,12,1
1980,4,3,6,16,1
1981,5,3,7,12,1
1982,3,4,9,13,1
1983,5,6,6,12,1
1984,5,4,8,10,2
1985,6,5,5,12,2
1986,5,5,6,12,2
1987,6,2,9,13,2
1988,6,5,8,11,2
1989,8,4,7,11,2
1990,8,5,7,9,2
1991,8,2,9,9,2
1992,8,3,9,9,2
1993,10,2,9,7,3
1994,10,3,10,6,4
1995,6,4,10,4,5
1996,5,5,9,4,6
1997,10,5,7,4,3
1998,12,5,6,5,2
1999,5,5,11,3,7
2000,7,6,10,1,5
2001,10,7,8,0,4
2002,9,7,9,0,4
2003,8,6,8,2,5
2004,9,7,8,0,6
2005,9,9,6,0,5
2006,12,4,8,0,5
2007,10,3,6,0,3
2008,9,4,4,0,4
2009,9,4,4,0,4
2010,8,4,4,0,5
