Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,1,33,0
1951,0,0,1,33,0
1952,0,0,1,33,0
1953,0,0,1,34,0
1954,0,0,1,35,0
1955,0,0,2,35,0
1956,0,0,2,39,0
1957,0,0,1,40,0
1958,0,0,2,39,0
1959,0,0,2,41,0
1960,0,0,4,46,0
1961,0,0,5,47,0
1962,0,0,9,40,0
1963,0,2,2,51,0
1964,0,2,6,48,0
1965,1,3,7,44,0
1966,1,3,8,44,0
1967,1,5,11,41,0
1968,1,5,13,39,0
1969,2,5,12,39,0
1970,7,2,16,33,0
1971,7,3,15,31,1
1972,6,7,16,27,1
1973,6,6,19,24,1
1974,9,7,13,29,1
1975,7,8,14,27,2
1976,6,12,10,30,2
1977,5,7,18,26,4
1978,7,10,19,21,2
1979,7,9,18,24,3
1980,6,17,10,24,3
1981,5,15,17,20,3
1982,5,15,15,23,3
1983,6,13,15,24,3
1984,6,12,19,22,3
1985,8,13,17,22,2
1986,5,11,22,20,3
1987,6,13,17,20,4
1988,6,16,13,21,4
1989,5,18,12,21,4
1990,5,19,12,21,3
1991,4,19,11,21,4
1992,4,20,15,20,2
1993,4,22,13,20,3
1994,6,22,9,19,3
1995,9,21,13,32,1
1996,10,18,16,31,3
1997,6,22,19,28,3
1998,5,19,25,19,4
1999,8,18,30,19,4
2000,6,19,30,20,4
2001,10,17,31,16,5
2002,6,11,39,16,8
2003,9,17,34,12,8
2004,11,17,34,12,6
2005,10,14,40,9,8
2006,12,20,29,9,10
2007,18,16,33,4,6
2008,16,20,33,1,8
2009,16,15,41,1,6
2010,16,21,33,1,8
