Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,8,62,0
1951,0,1,10,59,0
1952,0,1,10,60,0
1953,0,1,12,59,0
1954,0,2,12,59,0
1955,0,3,11,58,0
1956,0,3,10,60,0
1957,0,3,11,59,0
1958,0,4,10,60,0
1959,0,2,12,60,0
1960,0,2,12,59,0
1961,0,2,12,61,0
1962,0,2,11,62,0
1963,0,3,14,58,0
1964,1,4,10,62,0
1965,1,5,15,68,0
1966,1,4,17,67,0
1967,1,5,19,64,0
1968,1,4,21,66,0
1969,2,3,19,68,0
1970,1,8,17,74,0
1971,2,8,14,75,0
1972,2,7,21,70,0
1973,2,7,23,68,0
1974,2,7,21,73,0
1975,3,7,29,64,0
1976,3,8,26,67,0
1977,3,9,34,60,0
1978,3,10,36,59,0
1979,4,11,38,57,0
1980,3,15,38,52,0
1981,5,17,36,50,0
1982,6,16,34,51,0
1983,7,17,30,54,0
1984,6,16,42,44,1
1985,5,14,40,49,1
1986,6,17,43,43,1
1987,7,19,38,44,1
1988,6,19,42,40,1
1989,5,25,39,39,1
1990,6,23,47,32,2
1991,5,30,44,29,2
1992,8,39,28,33,2
1993,9,38,33,28,2
1994,13,47,20,28,3
1995,13,43,26,26,4
1996,15,42,27,24,4
1997,14,43,30,20,6
1998,24,28,22,21,3
1999,21,28,22,21,7
2000,18,29,26,18,7
2001,22,23,27,18,9
2002,23,31,15,22,8
2003,26,26,23,16,8
2004,27,26,24,14,9
2005,28,27,24,11,7
2006,21,23,24,11,8
2007,13,17,24,8,14
2008,9,15,27,6,17
2009,9,15,27,6,17
2010,9,16,25,6,16
