Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,9,59,0
1951,0,0,8,58,0
1952,0,0,7,59,0
1953,0,0,6,61,0
1954,0,0,6,60,0
1955,0,0,8,59,0
1956,0,0,7,61,0
1957,0,1,9,65,0
1958,0,0,12,65,0
1959,0,0,14,66,0
1960,0,1,11,70,0
1961,0,2,14,68,0
1962,0,2,16,70,0
1963,0,4,19,65,0
1964,0,2,24,69,0
1965,0,3,24,71,0
1966,0,7,22,71,0
1967,1,11,17,72,0
1968,2,10,23,71,0
1969,4,8,24,82,0
1970,1,10,36,72,0
1971,2,9,38,71,0
1972,2,9,50,62,0
1973,4,11,53,55,1
1974,4,8,61,52,1
1975,3,12,59,52,0
1976,3,11,62,50,1
1977,4,22,51,47,1
1978,3,30,43,50,1
1979,7,30,44,45,1
1980,12,34,28,49,1
1981,13,30,35,45,2
1982,10,31,43,38,3
1983,8,32,42,40,3
1984,8,34,36,43,1
1985,8,34,39,41,1
1986,11,33,40,40,1
1987,11,35,40,37,2
1988,12,33,39,39,2
1989,13,33,47,32,1
1990,14,31,51,28,2
1991,14,38,39,29,5
1992,12,42,33,30,5
1993,15,44,29,28,7
1994,14,34,44,26,6
1995,17,42,34,26,7
1996,22,38,32,26,7
1997,22,36,31,25,10
1998,32,33,32,23,9
1999,36,41,22,22,8
2000,31,37,29,18,10
2001,32,37,30,16,11
2002,32,34,31,13,13
2003,36,22,38,13,16
2004,39,24,33,12,17
2005,43,23,32,13,14
2006,43,22,35,11,14
2007,38,28,26,4,16
2008,40,25,25,4,18
2009,39,23,29,3,18
2010,37,29,24,3,19
