Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,1,32,0
1951,0,0,1,32,0
1952,0,0,1,32,0
1953,0,0,1,32,0
1954,0,0,1,32,0
1955,0,0,2,32,0
1956,0,0,2,37,0
1957,0,0,1,38,0
1958,0,0,2,37,0
1959,0,0,2,39,0
1960,0,0,4,40,0
1961,0,0,5,40,0
1962,0,0,7,36,0
1963,0,1,2,44,0
1964,0,1,4,44,0
1965,0,2,5,41,0
1966,0,2,7,40,0
1967,1,3,9,46,0
1968,1,3,13,42,0
1969,2,3,15,41,0
1970,5,1,14,32,0
1971,5,2,14,30,1
1972,4,6,12,30,1
1973,6,5,16,25,1
1974,6,6,11,32,1
1975,5,7,13,32,1
1976,3,11,8,35,2
1977,5,6,17,30,2
1978,5,8,18,27,2
1979,4,9,16,29,2
1980,5,14,12,27,2
1981,5,13,19,23,2
1982,5,13,15,28,2
1983,5,12,15,28,2
1984,5,12,19,25,2
1985,6,13,17,25,2
1986,6,10,20,24,3
1987,7,10,17,24,3
1988,7,13,13,25,3
1989,6,15,12,25,3
1990,6,16,12,25,2
1991,6,16,11,25,3
1992,6,17,16,21,1
1993,6,19,14,23,2
1994,9,21,8,24,1
1995,11,19,15,31,1
1996,10,18,16,29,4
1997,10,19,21,25,3
1998,8,19,25,19,4
1999,9,18,29,18,4
2000,12,20,30,16,2
2001,13,16,32,14,3
2002,11,9,39,14,6
2003,12,11,39,12,5
2004,12,15,36,11,5
2005,14,13,39,9,6
2006,15,18,30,9,9
2007,19,15,30,4,6
2008,17,15,36,1,6
2009,17,13,39,1,6
2010,16,18,32,1,9
