Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,2,73,0
1951,0,0,2,73,0
1952,0,0,3,73,0
1953,0,0,4,75,0
1954,0,0,5,77,0
1955,0,1,3,78,0
1956,1,0,4,77,0
1957,1,0,0,81,0
1958,0,1,2,79,0
1959,0,1,1,82,0
1960,0,1,2,85,0
1961,0,1,3,84,0
1962,0,1,1,88,0
1963,0,1,1,90,0
1964,0,1,4,85,0
1965,0,1,6,84,0
1966,0,1,8,84,0
1967,0,1,9,83,0
1968,0,2,6,83,0
1969,0,2,7,85,0
1970,0,4,11,87,0
1971,0,5,11,86,0
1972,0,5,12,89,0
1973,0,4,17,85,0
1974,0,6,15,86,0
1975,1,6,14,90,0
1976,2,6,16,93,0
1977,1,7,19,92,0
1978,2,8,15,93,0
1979,2,8,16,94,0
1980,3,9,14,97,0
1981,4,10,17,96,0
1982,5,6,23,93,0
1983,4,8,23,93,1
1984,5,8,24,92,2
1985,7,8,23,93,0
1986,6,10,30,83,0
1987,6,10,32,84,2
1988,6,11,38,78,0
1989,4,16,41,72,1
1990,5,16,37,74,1
1991,5,13,49,67,1
1992,6,13,48,67,3
1993,6,12,51,65,3
1994,6,14,58,54,3
1995,6,14,66,47,3
1996,6,12,69,46,3
1997,6,15,84,43,3
1998,5,15,82,47,5
1999,7,17,82,45,3
2000,6,25,85,56,3
2001,14,31,63,46,5
2002,15,29,65,39,7
2003,12,32,69,34,9
2004,12,36,69,30,9
2005,15,33,74,25,10
2006,14,34,77,23,9
2007,21,27,79,15,8
2008,22,35,70,15,8
2009,22,35,68,14,11
2010,21,34,71,14,11
