Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,7,21,0
1951,0,1,6,23,0
1952,0,1,5,25,0
1953,0,3,4,24,0
1954,1,4,3,23,0
1955,2,3,2,24,0
1956,1,4,3,23,0
1957,1,4,6,21,0
1958,1,4,5,23,0
1959,1,4,5,26,0
1960,2,3,4,27,0
1961,1,3,5,28,0
1962,1,4,6,25,0
1963,1,4,6,26,0
1964,1,4,8,25,0
1965,1,4,6,26,0
1966,1,4,7,25,0
1967,1,5,7,26,0
1968,1,4,12,33,0
1969,2,3,12,32,0
1970,1,7,10,33,0
1971,1,6,10,33,0
1972,2,7,8,34,0
1973,1,6,13,32,0
1974,1,8,10,35,0
1975,1,8,11,34,0
1976,2,8,13,33,0
1977,2,9,16,29,0
1978,2,9,17,25,0
1979,4,8,21,20,0
1980,2,8,22,19,0
1981,2,6,25,18,0
1982,3,7,23,14,0
1983,4,8,20,12,0
1984,5,6,22,9,0
1985,3,8,24,8,1
1986,4,6,31,4,1
1987,6,7,28,4,1
1988,9,12,15,6,1
1989,12,6,5,3,1
1990,13,6,6,4,2
1991,12,5,5,3,0
1992,10,8,5,3,1
1993,12,10,1,4,1
1994,14,8,2,3,0
1995,13,6,3,3,1
1996,11,9,2,3,1
1997,13,7,3,3,0
1998,14,7,3,4,1
1999,18,4,5,4,0
2000,16,4,5,4,0
2001,16,5,2,3,1
2002,24,3,4,4,2
2003,24,3,3,4,2
2004,22,5,0,5,2
2005,22,5,1,3,1
2006,21,3,2,3,2
2007,19,2,7,1,4
2008,19,4,4,1,4
2009,19,3,5,1,4
2010,19,3,5,1,4
