Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,18,69,0
1951,0,0,22,66,0
1952,0,2,17,69,0
1953,0,3,16,70,0
1954,0,8,13,70,0
1955,0,7,11,72,0
1956,0,9,12,75,0
1957,0,9,15,72,0
1958,0,9,18,79,0
1959,0,7,19,79,0
1960,0,9,17,79,0
1961,0,8,24,76,0
1962,0,8,24,75,0
1963,0,11,24,73,0
1964,0,14,22,72,0
1965,0,15,18,74,0
1966,1,13,23,71,0
1967,1,12,22,73,0
1968,2,14,21,75,0
1969,3,11,23,75,0
1970,2,15,21,83,0
1971,4,14,22,81,0
1972,4,16,19,84,0
1973,4,15,28,77,0
1974,5,20,19,82,0
1975,4,19,27,75,1
1976,4,17,29,76,1
1977,5,17,40,68,1
1978,5,20,40,68,1
1979,5,25,34,71,1
1980,7,21,37,69,1
1981,8,28,30,68,0
1982,10,28,31,65,0
1983,8,29,30,65,1
1984,8,30,36,60,1
1985,9,28,39,60,0
1986,8,28,42,57,1
1987,9,32,34,59,1
1988,9,32,42,51,1
1989,10,35,41,55,2
1990,9,33,43,52,5
1991,10,36,43,48,5
1992,13,44,29,51,5
1993,13,41,35,47,6
1994,13,51,29,46,5
1995,19,43,35,48,4
1996,19,47,28,49,4
1997,20,42,39,43,4
1998,22,38,41,41,6
1999,23,36,42,39,8
2000,23,43,36,38,9
2001,28,41,32,38,9
2002,28,48,21,39,11
2003,29,50,24,34,12
2004,31,49,23,33,11
2005,24,47,32,27,17
2006,29,42,40,21,13
2007,25,27,42,16,19
2008,28,32,34,13,19
2009,30,30,36,13,19
2010,29,29,36,13,19
