Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,9,41,0
1951,0,0,10,42,0
1952,0,0,10,42,0
1953,0,0,8,46,0
1954,0,1,10,43,0
1955,0,1,16,46,0
1956,0,1,14,52,0
1957,0,1,17,49,0
1958,0,1,18,49,0
1959,0,2,19,46,0
1960,0,3,20,43,0
1961,0,1,22,46,0
1962,0,3,19,47,0
1963,0,2,22,48,0
1964,0,10,11,48,0
1965,0,8,18,46,0
1966,0,5,23,44,0
1967,1,4,21,46,0
1968,0,5,21,46,0
1969,0,5,26,41,0
1970,1,8,26,43,0
1971,2,7,24,46,0
1972,2,11,23,42,0
1973,2,9,28,41,0
1974,2,13,24,40,0
1975,4,8,26,42,0
1976,4,12,24,40,0
1977,7,15,14,39,1
1978,6,14,17,38,1
1979,7,13,18,38,1
1980,8,16,13,38,1
1981,8,15,14,37,1
1982,8,15,17,33,1
1983,7,16,16,34,1
1984,9,16,17,32,1
1985,11,15,16,33,1
1986,8,15,15,34,1
1987,7,16,14,33,2
1988,9,18,13,31,1
1989,9,18,12,31,1
1990,8,19,11,32,2
1991,10,20,7,33,2
1992,7,18,14,30,4
1993,8,20,16,25,3
1994,9,18,16,26,3
1995,12,15,17,28,3
1996,11,16,18,26,3
1997,15,18,6,33,3
1998,15,16,10,30,4
1999,13,16,12,30,4
2000,13,13,11,33,6
2001,18,18,6,33,2
2002,10,15,16,27,9
2003,12,12,20,24,9
2004,13,13,16,25,11
2005,12,10,20,24,10
2006,11,7,30,18,11
2007,7,9,26,13,8
2008,9,9,24,12,9
2009,9,7,28,12,7
2010,10,5,29,12,6
