Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,8,31,0
1951,0,0,6,34,0
1952,0,0,6,35,0
1953,0,1,5,36,0
1954,0,1,12,30,0
1955,0,1,13,29,0
1956,0,1,12,31,0
1957,0,2,11,32,0
1958,0,2,14,30,0
1959,0,2,15,29,0
1960,0,5,15,25,0
1961,1,4,17,24,0
1962,1,3,17,25,0
1963,4,3,3,18,0
1964,4,2,5,17,0
1965,6,1,5,19,0
1966,5,2,5,18,0
1967,4,3,9,15,0
1968,5,2,10,16,0
1969,5,3,10,16,0
1970,4,3,12,16,1
1971,6,1,13,12,0
1972,7,4,10,12,0
1973,5,5,10,11,0
1974,5,6,10,11,0
1975,5,8,9,12,0
1976,5,5,10,13,0
1977,7,8,8,14,0
1978,7,9,6,13,0
1979,7,8,5,14,0
1980,8,9,4,13,0
1981,8,9,4,13,0
1982,9,10,4,14,0
1983,9,9,4,12,0
1984,11,10,3,12,0
1985,9,9,5,12,0
1986,7,9,8,12,2
1987,11,8,7,11,2
1988,11,12,2,15,1
1989,11,13,0,16,2
1990,13,12,2,14,0
1991,11,11,4,14,1
1992,13,10,3,14,1
1993,13,10,2,15,1
1994,17,7,13,14,4
1995,17,7,13,15,2
1996,19,5,13,14,3
1997,19,7,13,13,4
1998,18,10,11,13,5
1999,16,11,12,12,3
2000,17,12,14,10,4
2001,15,10,18,6,6
2002,22,10,15,6,4
2003,17,8,18,5,8
2004,22,7,18,2,6
2005,23,12,11,2,6
2006,27,9,11,1,5
2007,24,10,10,1,8
2008,25,9,8,1,8
2009,26,10,9,1,7
2010,24,11,8,1,8
