Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,5,57,0
1951,0,0,7,54,0
1952,0,1,9,51,0
1953,0,1,9,52,0
1954,0,2,10,49,0
1955,0,3,9,48,0
1956,0,2,12,47,0
1957,0,3,12,46,0
1958,0,3,12,47,0
1959,0,4,10,48,0
1960,1,3,13,49,0
1961,2,2,7,53,0
1962,2,3,10,58,0
1963,3,2,10,65,0
1964,2,2,12,82,0
1965,3,3,14,74,0
1966,3,4,12,78,0
1967,3,2,15,82,0
1968,1,5,16,78,1
1969,1,5,17,72,1
1970,2,6,15,73,1
1971,1,7,20,51,1
1972,3,6,24,58,1
1973,1,5,32,59,1
1974,1,10,28,61,1
1975,4,11,32,64,1
1976,7,9,37,53,1
1977,5,15,28,49,3
1978,9,15,39,71,3
1979,10,17,42,68,3
1980,15,15,33,53,4
1981,18,16,31,53,3
1982,13,17,35,68,4
1983,18,14,42,66,5
1984,16,27,35,62,6
1985,16,29,34,63,7
1986,21,19,48,58,3
1987,19,23,48,59,5
1988,17,27,42,65,4
1989,21,22,51,59,5
1990,23,28,48,56,6
1991,16,36,46,52,9
1992,23,36,46,46,7
1993,26,36,47,46,6
1994,32,35,47,45,4
1995,26,37,49,45,8
1996,27,36,55,40,9
1997,28,37,56,38,9
1998,33,34,56,36,6
1999,36,47,26,45,8
2000,34,37,60,27,13
2001,41,40,51,28,10
2002,37,42,51,23,17
2003,39,44,57,15,14
2004,43,50,41,17,19
2005,50,48,42,14,14
2006,51,49,43,12,16
2007,49,37,40,9,13
2008,51,42,32,10,13
2009,43,40,36,9,20
2010,46,35,36,9,22
