Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,19,51,0
1951,0,0,14,57,0
1952,0,0,15,59,0
1953,1,2,10,59,0
1954,1,1,14,56,0
1955,0,2,11,58,0
1956,0,3,12,56,0
1957,1,4,12,56,0
1958,1,4,11,59,0
1959,0,6,12,57,0
1960,1,5,10,56,0
1961,1,5,12,54,0
1962,1,7,11,55,0
1963,1,7,18,54,0
1964,1,6,17,53,0
1965,2,6,25,46,0
1966,1,12,21,44,0
1967,3,16,20,43,0
1968,5,13,19,42,0
1969,5,15,22,38,0
1970,4,19,23,38,0
1971,5,18,23,37,0
1972,8,14,26,31,0
1973,11,18,24,36,0
1974,6,26,20,28,0
1975,11,25,20,32,0
1976,15,21,21,31,0
1977,15,24,19,31,0
1978,20,19,22,30,0
1979,20,18,24,27,1
1980,20,18,25,26,2
1981,23,17,25,24,2
1982,20,17,27,23,3
1983,21,19,26,22,3
1984,18,25,24,20,4
1985,23,20,28,15,4
1986,21,25,22,16,3
1987,22,25,22,16,3
1988,22,22,25,16,5
1989,23,25,21,16,7
1990,22,31,23,12,4
1991,20,28,28,8,8
1992,17,26,33,9,8
1993,30,27,21,8,3
1994,36,33,8,10,3
1995,39,28,9,8,5
1996,38,29,9,8,5
1997,31,35,13,5,5
1998,34,31,10,6,8
1999,36,28,12,5,9
2000,38,29,13,4,5
2001,37,30,12,4,5
2002,39,24,13,4,9
2003,40,23,12,2,8
2004,39,19,12,2,7
2005,39,17,11,3,9
2006,44,15,12,1,8
2007,39,16,10,1,13
2008,38,13,11,1,15
2009,36,13,12,1,16
2010,38,15,8,1,16
