Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,0,42,0
1951,0,0,2,41,0
1952,0,0,2,41,0
1953,0,0,2,41,0
1954,0,0,2,41,0
1955,0,0,6,35,0
1956,0,0,6,41,0
1957,0,0,6,41,0
1958,0,0,8,40,0
1959,0,0,7,41,0
1960,0,1,8,41,0
1961,0,1,8,44,0
1962,0,0,8,45,0
1963,0,2,8,44,0
1964,0,3,7,42,0
1965,0,4,10,41,0
1966,0,2,12,41,0
1967,0,4,11,40,0
1968,0,6,13,39,0
1969,0,5,15,37,0
1970,0,5,19,42,0
1971,1,5,16,44,0
1972,1,3,19,41,0
1973,2,3,16,44,0
1974,3,7,13,43,0
1975,3,8,12,43,0
1976,3,8,15,42,0
1977,4,5,18,39,0
1978,5,5,19,31,0
1979,7,6,18,29,0
1980,4,9,18,27,0
1981,4,11,18,25,0
1982,7,9,23,24,0
1983,5,16,16,24,0
1984,8,13,21,20,1
1985,6,15,25,16,1
1986,4,15,26,16,1
1987,4,15,25,14,2
1988,9,19,20,12,1
1989,17,14,12,9,2
1990,14,13,15,9,3
1991,18,12,12,10,3
1992,16,14,16,8,5
1993,17,18,13,8,4
1994,18,17,15,6,4
1995,16,20,13,7,4
1996,20,15,14,6,5
1997,24,12,20,9,4
1998,28,13,15,12,5
1999,27,10,18,13,5
2000,27,11,19,14,6
2001,28,13,18,11,7
2002,25,17,13,10,12
2003,23,16,16,7,15
2004,27,13,16,6,12
2005,26,13,16,6,10
2006,26,11,18,6,10
2007,23,9,17,4,10
2008,23,8,19,4,10
2009,23,9,18,4,10
2010,24,9,17,4,11
