Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,10,50,0
1951,0,0,14,43,0
1952,0,0,13,44,0
1953,0,1,9,44,0
1954,0,1,11,44,0
1955,0,1,11,45,0
1956,0,1,13,47,0
1957,1,1,13,50,0
1958,0,4,14,46,0
1959,1,1,12,52,0
1960,1,3,13,49,0
1961,1,3,10,54,0
1962,1,1,15,53,0
1963,2,1,23,51,0
1964,2,2,21,55,0
1965,2,3,28,51,0
1966,2,6,23,55,0
1967,4,6,23,52,0
1968,4,5,27,49,0
1969,5,5,28,43,0
1970,2,12,19,47,0
1971,3,11,22,45,0
1972,2,14,19,44,1
1973,4,13,17,50,1
1974,6,14,14,53,0
1975,3,16,16,53,1
1976,7,16,14,53,0
1977,9,14,15,50,0
1978,12,9,22,45,1
1979,10,12,21,45,1
1980,9,10,28,39,2
1981,10,12,34,33,2
1982,6,14,29,35,4
1983,8,16,25,36,3
1984,9,14,31,29,4
1985,11,14,26,32,4
1986,10,17,22,34,3
1987,9,19,21,34,2
1988,8,20,20,34,3
1989,9,21,21,31,3
1990,11,17,30,22,4
1991,9,14,35,21,7
1992,8,19,33,20,7
1993,7,18,34,19,7
1994,6,18,39,15,9
1995,15,23,38,9,6
1996,15,20,32,14,7
1997,14,20,40,9,8
1998,12,21,41,11,9
1999,22,18,35,12,7
2000,17,22,37,7,13
2001,16,18,39,7,15
2002,18,21,36,7,13
2003,18,23,37,5,12
2004,14,28,31,5,16
2005,21,25,31,5,13
2006,21,24,32,6,12
2007,31,28,24,0,8
2008,29,30,21,0,10
2009,29,24,26,0,11
2010,28,24,23,0,14
