Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,16,44,0
1951,0,0,21,39,0
1952,0,0,21,39,0
1953,0,0,21,39,0
1954,0,2,17,42,0
1955,1,1,17,43,0
1956,0,4,14,44,0
1957,0,4,16,44,0
1958,0,3,19,45,0
1959,0,4,20,44,0
1960,0,4,21,50,0
1961,1,3,21,46,0
1962,1,5,21,47,0
1963,2,8,17,48,0
1964,1,9,20,44,0
1965,0,9,25,40,0
1966,4,10,20,41,0
1967,2,13,20,39,0
1968,5,9,22,37,0
1969,3,11,23,32,0
1970,3,15,18,37,0
1971,5,18,15,39,1
1972,5,18,17,40,0
1973,6,16,21,40,0
1974,6,14,21,40,1
1975,3,17,26,34,1
1976,4,18,21,39,1
1977,4,18,24,35,0
1978,8,19,22,39,0
1979,7,21,20,40,0
1980,9,21,20,37,0
1981,12,19,20,34,0
1982,14,19,25,34,0
1983,11,20,23,35,2
1984,10,20,21,37,3
1985,11,23,19,35,2
1986,13,21,13,39,3
1987,9,22,17,38,4
1988,10,23,15,39,4
1989,11,18,19,40,4
1990,14,20,17,37,6
1991,15,20,21,36,4
1992,17,16,23,36,5
1993,18,19,22,33,6
1994,14,23,18,33,9
1995,13,26,23,31,6
1996,18,28,17,30,6
1997,22,24,20,27,6
1998,19,24,18,27,8
1999,14,23,37,12,9
2000,24,27,26,10,9
2001,27,23,23,12,11
2002,27,28,21,11,11
2003,33,27,18,10,13
2004,34,25,20,7,13
2005,39,24,13,9,13
2006,41,24,15,5,13
2007,35,22,18,5,11
2008,34,25,15,5,12
2009,37,22,14,5,13
2010,35,21,15,5,15
