Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,1,28,0
1951,0,0,1,36,0
1952,0,0,1,39,0
1953,0,0,2,39,0
1954,0,0,1,48,0
1955,0,0,3,47,0
1956,0,0,6,46,0
1957,0,0,5,44,0
1958,0,0,8,43,0
1959,0,1,6,45,0
1960,0,2,3,46,0
1961,0,2,5,51,0
1962,0,2,5,52,0
1963,0,3,7,50,0
1964,0,3,12,50,0
1965,0,4,10,53,0
1966,0,4,12,51,0
1967,0,6,9,53,0
1968,0,7,11,57,0
1969,0,6,11,57,0
1970,1,4,16,53,0
1971,3,5,15,53,0
1972,1,10,9,60,0
1973,1,8,18,55,0
1974,3,13,11,60,0
1975,6,13,9,59,0
1976,9,10,9,59,0
1977,7,12,15,52,0
1978,6,13,15,48,0
1979,12,12,11,49,0
1980,11,14,16,43,0
1981,8,16,20,39,0
1982,9,14,20,40,0
1983,17,13,8,41,0
1984,16,13,16,37,0
1985,18,13,14,37,0
1986,18,11,16,34,1
1987,19,11,16,36,1
1988,13,20,13,36,1
1989,15,14,16,36,2
1990,15,19,10,36,2
1991,18,17,11,37,2
1992,14,13,15,41,4
1993,16,14,21,35,4
1994,16,15,22,37,2
1995,19,11,24,36,2
1996,16,21,17,34,4
1997,20,17,17,31,5
1998,19,18,20,29,4
1999,19,18,24,27,5
2000,17,23,19,26,7
2001,19,24,21,23,6
2002,22,24,19,21,8
2003,25,25,19,19,5
2004,25,27,17,18,7
2005,28,24,18,17,4
2006,29,26,17,15,8
2007,27,18,27,7,11
2008,27,15,29,6,12
2009,22,19,26,6,15
2010,25,18,23,6,15
