Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,3,48,0
1951,0,0,4,47,0
1952,0,0,4,48,0
1953,0,0,5,48,0
1954,0,0,7,47,0
1955,0,0,15,43,0
1956,0,0,13,49,0
1957,0,1,16,45,0
1958,0,1,16,46,0
1959,0,1,15,46,0
1960,0,2,17,43,0
1961,0,1,19,44,0
1962,0,2,18,44,0
1963,0,2,18,47,0
1964,0,7,12,45,0
1965,0,6,18,43,0
1966,0,3,22,42,0
1967,0,4,20,44,0
1968,0,4,20,44,0
1969,0,3,25,40,0
1970,0,7,25,44,0
1971,1,6,25,45,0
1972,1,11,23,41,0
1973,1,7,31,39,0
1974,1,13,25,39,0
1975,4,6,28,41,0
1976,4,11,24,40,0
1977,8,12,14,40,1
1978,6,14,15,40,1
1979,9,12,16,40,1
1980,9,15,12,39,1
1981,9,14,12,40,1
1982,10,14,13,37,1
1983,10,15,13,37,1
1984,12,13,16,35,1
1985,11,14,14,36,1
1986,11,12,16,35,1
1987,8,13,13,36,2
1988,9,17,12,33,1
1989,9,15,11,34,2
1990,8,16,10,34,3
1991,13,16,7,34,2
1992,9,16,12,29,6
1993,13,15,18,23,3
1994,16,12,16,25,4
1995,18,10,16,28,5
1996,12,12,17,29,7
1997,20,13,6,33,5
1998,18,13,9,32,7
1999,20,10,10,34,6
2000,18,11,9,33,9
2001,25,12,6,32,5
2002,11,13,16,27,13
2003,12,12,23,21,12
2004,12,12,21,21,15
2005,13,10,20,23,14
2006,13,8,31,17,12
2007,11,6,29,13,9
2008,11,9,24,13,9
2009,11,8,28,13,7
2010,14,7,28,13,4
