Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,8,30,0
1951,0,1,9,29,0
1952,1,1,8,26,0
1953,0,1,7,29,0
1954,0,1,6,29,0
1955,1,3,4,28,0
1956,0,3,4,31,0
1957,1,3,2,33,0
1958,1,1,7,32,0
1959,0,2,6,32,0
1960,0,4,5,30,0
1961,0,2,9,28,0
1962,0,2,11,27,0
1963,0,3,11,24,0
1964,0,4,8,26,0
1965,2,6,4,25,0
1966,2,5,7,24,0
1967,3,5,7,22,0
1968,2,7,3,27,0
1969,5,4,6,24,0
1970,1,7,11,22,0
1971,1,8,8,24,0
1972,2,6,12,20,1
1973,3,7,8,23,0
1974,3,7,10,25,0
1975,5,5,11,26,0
1976,5,9,9,26,0
1977,6,6,7,24,0
1978,5,5,12,22,1
1979,5,9,14,17,1
1980,2,9,13,18,2
1981,2,11,11,18,2
1982,3,12,9,21,2
1983,5,12,9,20,1
1984,7,12,12,16,2
1985,6,11,15,14,2
1986,4,13,15,12,2
1987,6,11,15,11,2
1988,7,9,18,9,3
1989,8,10,18,9,2
1990,4,12,18,8,3
1991,6,14,15,8,3
1992,8,14,21,5,3
1993,11,14,18,5,2
1994,13,18,11,5,3
1995,12,17,10,6,4
1996,10,20,9,3,3
1997,11,18,10,5,4
1998,9,15,13,7,5
1999,10,17,10,7,4
2000,10,17,10,9,6
2001,16,16,13,9,6
2002,13,14,11,9,7
2003,13,13,15,6,7
2004,17,13,17,6,6
2005,12,12,17,5,7
2006,12,15,15,5,6
2007,11,11,17,3,3
2008,11,9,19,3,4
2009,10,9,18,3,5
2010,10,10,17,3,7
