Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,9,34,0
1951,0,0,8,34,0
1952,0,0,11,30,0
1953,0,0,14,27,0
1954,0,0,13,30,0
1955,1,1,15,25,0
1956,2,3,13,25,0
1957,1,4,13,25,0
1958,3,3,11,26,0
1959,1,4,11,28,0
1960,2,3,11,29,0
1961,2,3,14,27,0
1962,2,3,20,25,0
1963,3,3,23,33,0
1964,3,7,30,51,0
1965,5,7,32,44,0
1966,7,12,31,41,0
1967,6,13,28,40,0
1968,5,18,28,39,0
1969,6,20,28,34,0
1970,7,19,27,39,0
1971,4,7,15,16,0
1972,7,13,17,21,0
1973,10,11,14,26,0
1974,10,13,16,31,0
1975,11,16,32,28,3
1976,13,18,19,34,2
1977,12,19,23,18,3
1978,20,17,20,29,3
1979,18,22,19,30,4
1980,18,28,15,25,4
1981,20,23,17,27,7
1982,22,23,15,34,5
1983,21,24,14,29,3
1984,19,20,21,30,9
1985,22,22,20,32,7
1986,25,21,17,37,9
1987,28,20,18,37,8
1988,29,24,16,35,9
1989,31,19,17,34,11
1990,31,20,21,36,9
1991,32,17,23,36,8
1992,35,22,17,33,11
1993,35,23,17,32,13
1994,34,26,14,32,14
1995,38,24,17,31,12
1996,33,24,24,24,15
1997,34,27,30,18,14
1998,39,26,28,16,11
1999,41,31,35,24,14
2000,51,27,24,29,16
2001,55,25,23,31,15
2002,65,26,13,31,13
2003,61,30,17,24,15
2004,69,22,18,21,17
2005,69,20,20,18,20
2006,69,19,23,16,20
2007,60,15,23,10,21
2008,59,17,21,9,21
2009,62,15,22,8,21
2010,65,18,18,8,19
